nama_kosan,lokasi,type_kosan,fasilitas,harga
 Kost Greenhome Tipe C Bendungan Hilir , Kecamatan Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.975.000 
 Kost Pondok Sagre Kepu Tipe C , Kecamatan Senen , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.615.000 
 Kost Bendungan Hilir 95 Tipe A , Kecamatan Tanah Abang , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.525.000 
 Kost Blueberry 1 Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.185.000 
 Kost Yulimar Petamburan 5 Tipe A , Tanah Abang , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.240.000 
 Kost Greenhome Tipe A Bendungan Hilir , Kecamatan Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.625.000 
 Kost Alaya Pejompongan Tipe B , Tanah Abang , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.465.000 
 Kost Greenhome Tipe B Bendungan Hilir , Kecamatan Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.375.000 
 Kost Vanela 15 Tipe A , Kecamatan Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.205.000 
 Kost Hasyim Ashari Tipe A Cideng , Kecamatan Gambir , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.965.000 
 Kost Elani Residence Tipe E , Kecamatan Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.550.000 
 Kost Palang Merah 7 Tipe B Cideng , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.159.000 
 Kost Mutiara 16B Tipe B Sumur Batu , Kecamatan Kemayoran , Campur ,"['AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp849.500 
 Kost R Sari Tipe B , Cempaka Putih , Campur ,"['WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp750.000 
 Kost Petojo Selatan 3 Tipe B Cideng , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.505.000 
 Kost Bella Vita Tipe A Salemba , Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.925.000 
 Kost Purnama Mangga Dua Tipe B , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.465.000 
 Kost Pondok Anugrah Tipe C , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.925.000 
 Kost Kramat Kwitang 30 Tipe A , Kecamatan Senen , Putra ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp1.751.600 
 Kost Elani Residence Tipe C , Kecamatan Senen , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.982.750 
 Kost Prospera Living Tipe C , Senen , Campur ,"['WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp851.160 
 Kost SB Living Tipe B , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.000.000 
 Kost Pegangsaan A30 Tipe A , Menteng , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp2.520.000 
 Kost Rumah Ceria Cideng Tipe C , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.300.000 
 Kost Aipda Petamburan Tipe B , Tanah Abang , Putri ,"['K. Mandi Dalam·', 'WiFi·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.235.000 
 Kost TM Urban Stay Tipe B , Kemayoran , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp2.000.000 
 Kost Bugenvil Tipe H , Kemayoran , Campur ,"['WiFi·', 'Kasur']", Rp801.000 
 Kost Pondok Sagre Kepu Tipe B , Kecamatan Senen , Campur ,"['WiFi·', 'AC·', 'Kasur·', 'Akses 24 Jam']", Rp1.365.000 
 Kost Petojo 25 Tipe D , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.375.000 
 Kost Sofia Thamrin Tipe A , Tanah Abang , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp3.015.000 
 Kost Laura Tipe D , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.261.750 
 Kost W One Pasar Baru Tipe A , Sawah Besar , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur']", Rp3.245.000 
 Kost Kepu 66 Tipe E , Kemayoran , Putri ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.189.000 
 Kost Petojo 25 Tipe C , Gambir , Campur ,"['WiFi·', 'AC·', 'Kloset Duduk·', 'Kasur·', 'Akses 24 Jam']", Rp1.465.000 
 Kost Kingkit IV Tipe B , Gambir , Campur ,"['K. Mandi Dalam·', 'WiFi·', 'Kasur·', 'Akses 24 Jam']", Rp1.635.000 
